Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
ACPP	acid phosphatase, prostate	Acid phosphatases	Acid phosphatase activity (GO:0003993)	phosphatase	TM	nucleus; plasma membrane; lysosome	endolysosome.system
ACPT	acid phosphatase, testicular	Acid phosphatases	Acid phosphatase activity (GO:0003993)	membrane protein	TM	undefined	undefined
ACR	acrosin	undefined	Serine-type peptidase activity (GO:0008236)	undefined	TRYPSIN	nucleus; secretion	plasma.membrane
ACRBP	acrosin binding protein	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
ACRC	acidic repeat containing	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACRV1	acrosomal vesicle protein 1	undefined	Receptor binding (GO:0005102)	undefined	undefined	secretion	plasma.membrane
ACSBG1	acyl-CoA synthetase bubblegum family member 1	Acyl-CoA synthetase family	Catalytic activity (GO:0003824)	undefined	undefined	undefined	undefined
ACSBG2	acyl-CoA synthetase bubblegum family member 2	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSF2	acyl-CoA synthetase family member 2	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSF3	acyl-CoA synthetase family member 3	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSL1	acyl-CoA synthetase long-chain family member 1	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	membrane protein	TM	nucleus; endoplasmic reticulum; mitochondria	ER.Golgi
ACSL3	acyl-CoA synthetase long-chain family member 3	Acyl-CoA synthetase family	CoA-ligase activity (GO:0016405)	membrane protein	TM	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
ACSL4	acyl-CoA synthetase long-chain family member 4	X-linked mental retardation|Acyl-CoA synthetase family	Ligase activity (GO:0016874)	membrane protein	undefined	nucleus; endoplasmic reticulum	ER.Golgi
ACSL5	acyl-CoA synthetase long-chain family member 5	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	membrane protein	TM	nucleus; nucleolus; endoplasmic reticulum	ER.Golgi
ACSL6	acyl-CoA synthetase long-chain family member 6	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	membrane protein	TM	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
ACSM1	acyl-CoA synthetase medium-chain family member 1	Acyl-CoA synthetase family	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	plasma.membrane
ACSM2A	acyl-CoA synthetase medium-chain family member 2A	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSM2B	acyl-CoA synthetase medium-chain family member 2B	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	undefined	undefined	mitochondria	mitochondria.metabolism
ACSM3	acyl-CoA synthetase medium-chain family member 3	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	undefined	undefined	undefined	undefined
ACSM4	acyl-CoA synthetase medium-chain family member 4	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSM5	acyl-CoA synthetase medium-chain family member 5	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACSM6	acyl-CoA synthetase medium-chain family member 6	undefined	undefined	undefined	undefined	undefined	undefined
ACSS1	acyl-CoA synthetase short-chain family member 1	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	mitochondria	mitochondria.metabolism
ACSS2	acyl-CoA synthetase short-chain family member 2	Acyl-CoA synthetase family	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; cytosol	nucleus
ACSS3	acyl-CoA synthetase short-chain family member 3	Acyl-CoA synthetase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACTA1	actin, alpha 1, skeletal muscle	Actins	Structural molecule activity (GO:0005198)	undefined	ACTIN	cytosol; cytoskeleton; filament; actin; myosin	cytoskeleton
ACTA2	actin, alpha 2, smooth muscle, aorta	Actins	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; actin	cytoskeleton
ACTB	actin, beta	Actins	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	nucleus; chromatin; histones; cytosol; cytoskeleton	cytoskeleton
ACTBL2	actin, beta-like 2	undefined	Molecular function unknown (GO:0005554)	undefined	ACTIN	undefined	plasma.membrane
ACTC1	actin, alpha, cardiac muscle 1	Actins	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; actin; myosin	cytoskeleton
ACTG1	actin gamma 1	Actins	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	nucleus; cytosol; cytoskeleton	cytoskeleton
ACTG2	actin, gamma 2, smooth muscle, enteric	Actins	Structural molecule activity (GO:0005198)	undefined	ACTIN	cytosol; cytoskeleton	cytoskeleton
ACTL10	actin like 10	undefined	undefined	undefined	undefined	undefined	undefined
ACTL6A	actin like 6A	INO80 complex 	Chromatin binding (GO:0003682)	undefined	ACTIN	DNA-associated; nucleus; chromatin; histones; plasma membrane	plasma.membrane
ACTL6B	actin like 6B	undefined	Structural molecule activity (GO:0005198)	undefined	ACTIN	nucleus; nucleolus	nucleus
ACTL7A	actin like 7A	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	ACTIN	nucleus; cytoskeleton	cytoskeleton
ACTL7B	actin like 7B	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytoskeleton; actin	cytoskeleton
ACTL8	actin like 8	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	undefined	undefined
ACTL9	actin like 9	undefined	Molecular function unknown (GO:0005554)	undefined	ACTIN	undefined	undefined
ACTN1	actinin alpha 1	Actinins	Cytoskeletal protein binding (GO:0008092)	undefined	CH, SPECTRIN, EF	cytosol; cytoskeleton; actin; myosin; secretion	cytoskeleton
ACTN2	actinin alpha 2	Actinins	Cytoskeletal protein binding (GO:0008092)	undefined	CH, SPECTRIN, EF	cytosol; cytoskeleton; actin; secretion	cytoskeleton
ACTN3	actinin alpha 3 (gene/pseudogene)	Actinins	Cytoskeletal protein binding (GO:0008092)	undefined	CH, SPECTRIN, EF	undefined	undefined
ACTN4	actinin alpha 4	Actinins	Structural constituent of cytoskeleton (GO:0005200)	undefined	CH, SPECTRIN, EF	nucleus; secretion	plasma.membrane
ACTR10	actin-related protein 10 homolog (S. cerevisiae)	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	ACTIN	undefined	undefined
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; microtubules; actin	cytoskeleton
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; microtubules; actin	cytoskeleton
ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Actin related protein 2/3 complex 	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; actin	cytoskeleton
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Actin related protein 2/3 complex 	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	cytosol; cytoskeleton; actin	cytoskeleton
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	ACTIN	undefined	plasma.membrane
ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)	undefined	undefined	undefined	undefined	undefined	plasma.membrane
ACTR5	ARP5 actin-related protein 5 homolog (yeast)	INO80 complex 	Molecular function unknown (GO:0005554)	transcription regulator	ACTIN	DNA-associated; nucleus; chromatin	nucleus
ACTR6	ARP6 actin-related protein 6 homolog (yeast)	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	ACTIN	undefined	undefined
ACTR8	ARP8 actin-related protein 8 homolog (yeast)	INO80 complex 	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	DNA-associated; nucleus; chromatin	nucleus
ACTRT1	actin-related protein T1	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	ACTIN	undefined	undefined
ACTRT2	actin related protein T2	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	ACTIN	undefined	undefined
ACTRT3	actin-related protein T3	undefined	undefined	undefined	undefined	undefined	undefined
ACVR1	activin A receptor type I	Type I receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, GS, S_T_kinase	plasma membrane	plasma.membrane
ACVR1B	activin A receptor type IB	Type I receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, GS, S_T_kinase	plasma membrane	plasma.membrane
ACVR1C	activin A receptor type IC	Type I receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, GS	plasma membrane	plasma.membrane
ACVR2A	activin A receptor type IIA	Type II receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, S_T_kinase	plasma membrane	plasma.membrane
ACVR2B	activin A receptor type IIB	Type II receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, Tyr_Kinase	plasma membrane	plasma.membrane
ACVRL1	activin A receptor type IL	Type I receptor serine/threonine kinases	Receptor signaling protein serine/threonine kinase activity (GO:0004702)	kinase	TM, GS, S_T_kinase, S_T_Y_Kinase	plasma membrane	plasma.membrane
ACY1	aminoacylase 1	undefined	Hydrolase activity (GO:0016787)	undefined	undefined	cytosol	plasma.membrane
ACY3	aminoacylase 3	undefined	Hydrolase activity (GO:0016787)	undefined	undefined	cytosol	plasma.membrane
ACYP1	acylphosphatase 1, erythrocyte (common) type	undefined	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	plasma.membrane
ACYP2	acylphosphatase 2, muscle type	undefined	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
ADA	adenosine deaminase	undefined	Deaminase activity (GO:0019239)	undefined	undefined	cytosol; plasma membrane; lysosome	endolysosome.system
ADAD1	adenosine deaminase domain containing 1	undefined	RNA binding (GO:0003723)	RNA processing protein	DSRM	undefined	undefined
ADAD2	adenosine deaminase domain containing 2	undefined	RNA binding (GO:0003723)	RNA binding protein	undefined	undefined	undefined
ADAL	adenosine deaminase-like	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	undefined
ADAM10	ADAM metallopeptidase domain 10	ADAM metallopeptidase domain containing|CD molecules	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, TM	nucleus; endoplasmic reticulum; Golgi; plasma membrane	ER.Golgi
ADAM11	ADAM metallopeptidase domain 11	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, EGF, TM	plasma membrane	plasma.membrane
ADAM12	ADAM metallopeptidase domain 12	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	nucleus; plasma membrane	plasma.membrane
ADAM15	ADAM metallopeptidase domain 15	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM17	ADAM metallopeptidase domain 17	ADAM metallopeptidase domain containing|CD molecules	Metallopeptidase activity (GO:0008237)	undefined	REP, DISINT, TM	cytoskeleton; actin; plasma membrane	cytoskeleton
ADAM18	ADAM metallopeptidase domain 18	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	undefined	undefined
ADAM19	ADAM metallopeptidase domain 19	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	DISINT, ACR, TM, REP	undefined	undefined
ADAM1A	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM1B	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM2	ADAM metallopeptidase domain 2	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM20	ADAM metallopeptidase domain 20	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM21	ADAM metallopeptidase domain 21	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM22	ADAM metallopeptidase domain 22	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM, EGF	undefined	undefined
ADAM23	ADAM metallopeptidase domain 23	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM24P	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM28	ADAM metallopeptidase domain 28	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, EGF, TM	plasma membrane	plasma.membrane
ADAM29	ADAM metallopeptidase domain 29	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM30	ADAM metallopeptidase domain 30	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	plasma membrane	plasma.membrane
ADAM32	ADAM metallopeptidase domain 32	ADAM metallopeptidase domain containing	Peptidase activity (GO:0008233)	membrane protein	DISINT, ACR, EGF, TM	undefined	undefined
ADAM33	ADAM metallopeptidase domain 33	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR	undefined	undefined
ADAM3A	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM3B	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM5	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM6	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ADAM7	ADAM metallopeptidase domain 7	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, TM	undefined	undefined
ADAM8	ADAM metallopeptidase domain 8	ADAM metallopeptidase domain containing|CD molecules	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, EGF, TM	cytoskeleton; actin; plasma membrane; secretion; endosome; lysosome	endolysosome.system
ADAM9	ADAM metallopeptidase domain 9	ADAM metallopeptidase domain containing	Metallopeptidase activity (GO:0008237)	membrane protein	REP, DISINT, ACR, EGFL, TM	plasma membrane	plasma.membrane
ADAMDEC1	ADAM-like, decysin 1	undefined	Metallopeptidase activity (GO:0008237)	undefined	REP, DISINT	undefined	undefined
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAM metallopeptidases with thrombospondin type 1 motif	Metallopeptidase activity (GO:0008237)	undefined	ACR, TSP1	undefined	undefined
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAM metallopeptidases with thrombospondin type 1 motif	Metallopeptidase activity (GO:0008237)	undefined	TSP1, REP	undefined	plasma.membrane
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	ADAM metallopeptidases with thrombospondin type 1 motif	Metallopeptidase activity (GO:0008237)	undefined	TSP1, REP	undefined	plasma.membrane
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	ADAM metallopeptidases with thrombospondin type 1 motif	Metallopeptidase activity (GO:0008237)	undefined	TSP1, ACR, REP	endoplasmic reticulum	ER.Golgi
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	ADAM metallopeptidases with thrombospondin type 1 motif	Metallopeptidase activity (GO:0008237)	undefined	REP, TSP1	undefined	plasma.membrane
